Course,Hole,Tees,Yardage,Par,TP,+/-,Putts,Fairs,Fair%,GIR,GIR%
Bethpage Blue,1,White,397,4,7,10,1.86,1,14.29%,0,0.00%
Bethpage Blue,1,Blue,432,4,7,10,1.86,1,14.29%,0,0.00%
Bethpage Blue,2,White,441,4,7,11,1.86,2,28.57%,0,0.00%
Bethpage Blue,2,Blue,451,4,7,11,1.86,2,28.57%,0,0.00%
Bethpage Blue,3,White,180,3,7,4,1.71,,,3,42.86%
Bethpage Blue,3,Blue,195,3,7,4,1.71,,,3,42.86%
Bethpage Blue,4,White,479,5,7,4,2.14,4,57.14%,5,71.43%
Bethpage Blue,4,Blue,493,5,7,4,2.14,4,57.14%,5,71.43%
Bethpage Blue,5,White,298,4,7,4,1.71,3,42.86%,3,42.86%
Bethpage Blue,5,Blue,306,4,7,4,1.71,3,42.86%,3,42.86%
Bethpage Blue,6,White,446,4,7,7,1.86,5,71.43%,1,14.29%
Bethpage Blue,6,Blue,462,4,7,7,1.86,5,71.43%,1,14.29%
Bethpage Blue,7,White,175,3,7,7,1.57,,,0,0.00%
Bethpage Blue,7,Blue,186,3,7,7,1.57,,,0,0.00%
Bethpage Blue,8,White,545,5,7,5,2.14,3,42.86%,3,42.86%
Bethpage Blue,8,Blue,565,5,7,5,2.14,3,42.86%,3,42.86%
Bethpage Blue,9,White,348,4,7,-1,1.43,5,71.43%,4,57.14%
Bethpage Blue,9,Blue,360,4,7,-1,1.43,5,71.43%,4,57.14%
Bethpage Blue,10,White,362,4,7,7,2.00,4,57.14%,2,28.57%
Bethpage Blue,10,Blue,381,4,7,7,2.00,4,57.14%,2,28.57%
Bethpage Blue,11,White,187,3,7,6,1.57,,,0,0.00%
Bethpage Blue,11,Blue,200,3,7,6,1.57,,,0,0.00%
Bethpage Blue,12,White,463,5,7,4,2.00,2,28.57%,3,42.86%
Bethpage Blue,12,Blue,473,5,7,4,2.00,2,28.57%,3,42.86%
Bethpage Blue,13,White,347,4,7,6,2.00,4,57.14%,3,42.86%
Bethpage Blue,13,Blue,362,4,7,6,2.00,4,57.14%,3,42.86%
Bethpage Blue,14,White,362,4,7,5,1.86,3,42.86%,2,28.57%
Bethpage Blue,14,Blue,383,4,7,5,1.86,3,42.86%,2,28.57%
Bethpage Blue,15,White,371,4,7,4,1.57,3,42.86%,1,14.29%
Bethpage Blue,15,Blue,387,4,7,4,1.57,3,42.86%,1,14.29%
Bethpage Blue,16,White,490,5,7,3,2.14,4,57.14%,4,57.14%
Bethpage Blue,16,Blue,501,5,7,3,2.14,4,57.14%,4,57.14%
Bethpage Blue,17,White,163,3,7,5,1.71,,,3,42.86%
Bethpage Blue,17,Blue,175,3,7,5,1.71,,,3,42.86%
Bethpage Blue,18,White,351,4,7,5,1.71,3,42.86%,2,28.57%
Bethpage Blue,18,Blue,364,4,7,5,1.71,3,42.86%,2,28.57%
